    0 J, Jb, Jo:       .11371212E+06       .00000000E+00       .11371212E+06
    1 J, Jb, Jo:       .10472483E+06       .50000000E+00       .10472433E+06
    2 J, Jb, Jo:       .84047906E+05       .16491967E+02       .84031414E+05
    3 J, Jb, Jo:       .79372910E+05       .28374369E+02       .79344536E+05
    4 J, Jb, Jo:       .74944336E+05       .49066312E+02       .74895270E+05
    5 J, Jb, Jo:       .71886430E+05       .73248270E+02       .71813181E+05
    6 J, Jb, Jo:       .69570974E+05       .10252720E+03       .69468447E+05
    7 J, Jb, Jo:       .67957792E+05       .11008294E+03       .67847709E+05
    8 J, Jb, Jo:       .66096475E+05       .13257764E+03       .65963897E+05
    9 J, Jb, Jo:       .64828255E+05       .16293402E+03       .64665321E+05
   10 J, Jb, Jo:       .63663537E+05       .18694383E+03       .63476593E+05
   11 J, Jb, Jo:       .62299651E+05       .24116507E+03       .62058486E+05
   12 J, Jb, Jo:       .61535913E+05       .28332413E+03       .61252589E+05
   13 J, Jb, Jo:       .60860063E+05       .29014921E+03       .60569914E+05
   14 J, Jb, Jo:       .59581834E+05       .33145449E+03       .59250380E+05
   15 J, Jb, Jo:       .59019475E+05       .36872277E+03       .58650752E+05
   16 J, Jb, Jo:       .58339254E+05       .40384824E+03       .57935405E+05
   17 J, Jb, Jo:       .57540390E+05       .47369214E+03       .57066698E+05
   18 J, Jb, Jo:       .57128168E+05       .51433646E+03       .56613832E+05
   19 J, Jb, Jo:       .56741406E+05       .52806990E+03       .56213336E+05
   20 J, Jb, Jo:       .56133206E+05       .56651528E+03       .55566691E+05
   21 J, Jb, Jo:       .55784108E+05       .59924068E+03       .55184868E+05
   22 J, Jb, Jo:       .55374240E+05       .62984814E+03       .54744392E+05
   23 J, Jb, Jo:       .54904373E+05       .68366474E+03       .54220708E+05
   24 J, Jb, Jo:       .54594827E+05       .72320204E+03       .53871625E+05
   25 J, Jb, Jo:       .54298559E+05       .74670598E+03       .53551853E+05
   26 J, Jb, Jo:       .53923532E+05       .79812637E+03       .53125406E+05
   27 J, Jb, Jo:       .53655241E+05       .82373791E+03       .52831503E+05
   28 J, Jb, Jo:       .53374015E+05       .84521193E+03       .52528803E+05
   29 J, Jb, Jo:       .53052153E+05       .89858611E+03       .52153567E+05
   30 J, Jb, Jo:       .52810563E+05       .93868428E+03       .51871879E+05
   31 J, Jb, Jo:       .52630164E+05       .95531702E+03       .51674846E+05
   32 J, Jb, Jo:       .52371521E+05       .10556413E+04       .51315880E+05
   33 J, Jb, Jo:       .52119433E+05       .10810860E+04       .51038347E+05
   34 J, Jb, Jo:       .51999497E+05       .10837073E+04       .50915790E+05
   35 J, Jb, Jo:       .51628607E+05       .11677897E+04       .50460818E+05
   36 J, Jb, Jo:       .51555891E+05       .12956409E+04       .50260251E+05
   37 J, Jb, Jo:       .51340039E+05       .13027584E+04       .50037281E+05
   38 J, Jb, Jo:       .51231388E+05       .13467453E+04       .49884643E+05
   39 J, Jb, Jo:       .51107082E+05       .14330037E+04       .49674078E+05
   40 J, Jb, Jo:       .50876466E+05       .15506505E+04       .49325816E+05
   41 J, Jb, Jo:       .51470813E+05       .18476856E+04       .49623127E+05
   41 J, Jb, Jo:       .50769148E+05       .16298449E+04       .49139303E+05
   42 J, Jb, Jo:       .50560081E+05       .17406870E+04       .48819394E+05
   43 J, Jb, Jo:       .50427322E+05       .17929595E+04       .48634362E+05
   44 J, Jb, Jo:       .50357159E+05       .18548126E+04       .48502346E+05
   45 J, Jb, Jo:       .50196421E+05       .18525881E+04       .48343833E+05
   46 J, Jb, Jo:       .50140645E+05       .18373350E+04       .48303310E+05
   47 J, Jb, Jo:       .50049058E+05       .18184753E+04       .48230583E+05
   48 J, Jb, Jo:       .49912247E+05       .18155325E+04       .48096714E+05
   49 J, Jb, Jo:       .49995875E+05       .18158130E+04       .48180062E+05
   49 J, Jb, Jo:       .49851553E+05       .18152173E+04       .48036336E+05
   50 J, Jb, Jo:       .49784508E+05       .18299125E+04       .47954596E+05
   51 J, Jb, Jo:       .49740097E+05       .18432881E+04       .47896809E+05
   52 J, Jb, Jo:       .49677259E+05       .18839489E+04       .47793310E+05
   53 J, Jb, Jo:       .49593094E+05       .18961843E+04       .47696910E+05
   54 J, Jb, Jo:       .49543901E+05       .19022606E+04       .47641641E+05
   55 J, Jb, Jo:       .49476651E+05       .19179942E+04       .47558657E+05
   56 J, Jb, Jo:       .49451124E+05       .19596841E+04       .47491440E+05
   57 J, Jb, Jo:       .49340769E+05       .19686958E+04       .47372073E+05
   58 J, Jb, Jo:       .49285962E+05       .19844140E+04       .47301548E+05
   59 J, Jb, Jo:       .49235073E+05       .20120801E+04       .47222993E+05
   60 J, Jb, Jo:       .49159014E+05       .20507824E+04       .47108232E+05
   61 J, Jb, Jo:       .49080282E+05       .21528807E+04       .46927402E+05
   62 J, Jb, Jo:       .48992785E+05       .21660778E+04       .46826708E+05
   63 J, Jb, Jo:       .48949679E+05       .21674024E+04       .46782277E+05
   64 J, Jb, Jo:       .48871960E+05       .22027404E+04       .46669219E+05
   65 J, Jb, Jo:       .48874680E+05       .22825249E+04       .46592155E+05
   65 J, Jb, Jo:       .48820499E+05       .22413613E+04       .46579138E+05
   66 J, Jb, Jo:       .48759934E+05       .22887238E+04       .46471210E+05
