    0 G, Gb, Go:       .10208494E+05       .00000000E+00       .10208494E+05
    1 G, Gb, Go:       .79259377E+04       .10000000E+01       .79269175E+04
    2 G, Gb, Go:       .36897643E+04       .57431642E+01       .36908607E+04
    3 G, Gb, Go:       .38613297E+04       .75331759E+01       .38615401E+04
    4 G, Gb, Go:       .25841247E+04       .99061912E+01       .25832856E+04
    5 G, Gb, Go:       .27768275E+04       .12103576E+02       .27758993E+04
    6 G, Gb, Go:       .24217599E+04       .14319721E+02       .24208527E+04
    7 G, Gb, Go:       .18460000E+04       .14837988E+02       .18470491E+04
    8 G, Gb, Go:       .19026267E+04       .16283589E+02       .19048692E+04
    9 G, Gb, Go:       .22943419E+04       .18051815E+02       .22956871E+04
   10 G, Gb, Go:       .15767295E+04       .19336175E+02       .15781535E+04
   11 G, Gb, Go:       .17926449E+04       .21962016E+02       .17918958E+04
   12 G, Gb, Go:       .20100791E+04       .23804375E+02       .20086485E+04
   13 G, Gb, Go:       .14073432E+04       .24089384E+02       .14061973E+04
   14 G, Gb, Go:       .12248004E+04       .25747019E+02       .12253884E+04
   15 G, Gb, Go:       .18690482E+04       .27155948E+02       .18693815E+04
   16 G, Gb, Go:       .12771831E+04       .28420001E+02       .12781538E+04
   17 G, Gb, Go:       .11688337E+04       .30779608E+02       .11702209E+04
   18 G, Gb, Go:       .14779782E+04       .32072931E+02       .14785816E+04
   19 G, Gb, Go:       .10550949E+04       .32498305E+02       .10563763E+04
   20 G, Gb, Go:       .93598177E+03       .33660519E+02       .93832233E+03
   21 G, Gb, Go:       .13436153E+04       .34619089E+02       .13453021E+04
   22 G, Gb, Go:       .95069102E+03       .35492200E+02       .95300371E+03
   23 G, Gb, Go:       .96634404E+03       .36977419E+02       .96822541E+03
   24 G, Gb, Go:       .10724816E+04       .38031620E+02       .10732979E+04
   25 G, Gb, Go:       .89463747E+03       .38644689E+02       .89537518E+03
   26 G, Gb, Go:       .88290620E+03       .39953132E+02       .88391080E+03
   27 G, Gb, Go:       .10166966E+04       .40589110E+02       .10184159E+04
   28 G, Gb, Go:       .83934763E+03       .41114764E+02       .84265794E+03
   29 G, Gb, Go:       .10404012E+04       .42393068E+02       .10450451E+04
   30 G, Gb, Go:       .82352688E+03       .43328611E+02       .82936692E+03
   31 G, Gb, Go:       .72188847E+03       .43710800E+02       .72845726E+03
   32 G, Gb, Go:       .15115530E+04       .45948695E+02       .15142137E+04
   33 G, Gb, Go:       .82697374E+03       .46499162E+02       .83176117E+03
   34 G, Gb, Go:       .62500555E+03       .46555501E+02       .63163738E+03
   35 G, Gb, Go:       .70009000E+03       .48327833E+02       .70549618E+03
   36 G, Gb, Go:       .15949965E+04       .50904634E+02       .15965198E+04
   37 G, Gb, Go:       .60977073E+03       .51044262E+02       .61438550E+03
   38 G, Gb, Go:       .45566381E+03       .51898849E+02       .46149863E+03
   39 G, Gb, Go:       .53488782E+03       .53535104E+02       .53912096E+03
   40 G, Gb, Go:       .54736759E+03       .55689325E+02       .55125170E+03
   41 G, Gb, Go:       .35460150E+04       .60789565E+02       .35459482E+04
   41 G, Gb, Go:       .10175686E+04       .57093693E+02       .10195436E+04
   42 G, Gb, Go:       .52982514E+03       .59003169E+02       .53381496E+03
   43 G, Gb, Go:       .43344218E+03       .59882543E+02       .43882874E+03
   44 G, Gb, Go:       .13928550E+04       .60906693E+02       .13944730E+04
   45 G, Gb, Go:       .46714208E+03       .60870159E+02       .47270333E+03
   46 G, Gb, Go:       .37983960E+03       .60619056E+02       .38687925E+03
   47 G, Gb, Go:       .44075156E+03       .60307136E+02       .44682192E+03
   48 G, Gb, Go:       .43639846E+03       .60258319E+02       .44231045E+03
   49 G, Gb, Go:       .15316046E+04       .60262974E+02       .15326121E+04
   49 G, Gb, Go:       .51124884E+03       .60253087E+02       .51586311E+03
   50 G, Gb, Go:       .29063436E+03       .60496488E+02       .29834590E+03
   51 G, Gb, Go:       .30508861E+03       .60717182E+02       .31242769E+03
   52 G, Gb, Go:       .85546042E+03       .61383205E+02       .85812150E+03
   53 G, Gb, Go:       .37126815E+03       .61582211E+02       .37768193E+03
   54 G, Gb, Go:       .35366530E+03       .61680800E+02       .36086876E+03
   55 G, Gb, Go:       .40597070E+03       .61935357E+02       .41275504E+03
   56 G, Gb, Go:       .11858617E+04       .62604858E+02       .11881198E+04
   57 G, Gb, Go:       .43548243E+03       .62748638E+02       .44201073E+03
   58 G, Gb, Go:       .25350986E+03       .62998635E+02       .26428850E+03
   59 G, Gb, Go:       .34607603E+03       .63436270E+02       .35347647E+03
   60 G, Gb, Go:       .47003149E+03       .64043461E+02       .47518154E+03
   61 G, Gb, Go:       .78379453E+03       .65618301E+02       .78636218E+03
   62 G, Gb, Go:       .35230549E+03       .65819112E+02       .35919523E+03
   63 G, Gb, Go:       .35918358E+03       .65839235E+02       .36711396E+03
   64 G, Gb, Go:       .37862543E+03       .66373796E+02       .38786066E+03
   65 G, Gb, Go:       .10859509E+04       .67565152E+02       .10900527E+04
   65 G, Gb, Go:       .49562934E+03       .66953137E+02       .50383367E+03
   66 G, Gb, Go:       .30898383E+03       .67656836E+02       .32268899E+03
   67 G, Gb, Go:       .31355526E+03       .68802062E+02       .32694478E+03
   68 G, Gb, Go:       .88067340E+03       .69943579E+02       .88527499E+03
   69 G, Gb, Go:       .29849814E+03       .69903897E+02       .31194603E+03
   70 G, Gb, Go:       .21092101E+03       .69913235E+02       .22935175E+03
   71 G, Gb, Go:       .26548876E+03       .70084608E+02       .28033881E+03
   72 G, Gb, Go:       .27636620E+03       .70377659E+02       .29217742E+03
   73 G, Gb, Go:       .56382444E+03       .71008070E+02       .57240838E+03
   74 G, Gb, Go:       .28198809E+03       .71484608E+02       .30150868E+03
   75 G, Gb, Go:       .20703270E+03       .71458985E+02       .23253961E+03
   76 G, Gb, Go:       .31988989E+03       .71681465E+02       .33586657E+03
   77 G, Gb, Go:       .45678015E+03       .72121380E+02       .46764914E+03
   78 G, Gb, Go:       .30758575E+03       .72366233E+02       .32332717E+03
   79 G, Gb, Go:       .22608933E+03       .73456993E+02       .24515014E+03
   80 G, Gb, Go:       .33522902E+03       .73922744E+02       .34843467E+03
   81 G, Gb, Go:       .27803586E+03       .74439611E+02       .29384356E+03
   82 G, Gb, Go:       .70509914E+03       .75603547E+02       .71114008E+03
   83 G, Gb, Go:       .18159066E+03       .75542042E+02       .20526620E+03
   84 G, Gb, Go:       .16096787E+03       .75398759E+02       .18745426E+03
   85 G, Gb, Go:       .24815528E+03       .75521255E+02       .26567822E+03
   86 G, Gb, Go:       .48299700E+03       .75801834E+02       .49103159E+03
   86 G, Gb, Go:       .22600165E+03       .75667394E+02       .24396142E+03
   87 G, Gb, Go:       .14943133E+03       .75971594E+02       .17431294E+03
   88 G, Gb, Go:       .16314752E+03       .76724667E+02       .18424314E+03
   89 G, Gb, Go:       .45029324E+03       .77586976E+02       .45765613E+03
   90 G, Gb, Go:       .22375847E+03       .77754070E+02       .23835686E+03
   91 G, Gb, Go:       .16916593E+03       .78131094E+02       .18858626E+03
   92 G, Gb, Go:       .19151642E+03       .78471585E+02       .20913836E+03
   93 G, Gb, Go:       .51805986E+03       .79386752E+02       .52427747E+03
   94 G, Gb, Go:       .15234036E+03       .79637421E+02       .17327127E+03
   95 G, Gb, Go:       .12203769E+03       .79555665E+02       .14742853E+03
   96 G, Gb, Go:       .13224968E+03       .79545129E+02       .15622962E+03
   97 G, Gb, Go:       .51976945E+03       .80182416E+02       .52652247E+03
   98 G, Gb, Go:       .24287697E+03       .80347736E+02       .25729113E+03
   99 G, Gb, Go:       .15493399E+03       .80805474E+02       .17667745E+03
  100 G, Gb, Go:       .19562675E+03       .81357522E+02       .21287767E+03
  101 G, Gb, Go:       .22801628E+03       .82230011E+02       .24155285E+03
  102 G, Gb, Go:       .64239639E+03       .83584884E+02       .64622311E+03
  102 G, Gb, Go:       .28172578E+03       .82802399E+02       .29185052E+03
  103 G, Gb, Go:       .16321139E+03       .83230041E+02       .17863997E+03
  104 G, Gb, Go:       .14457643E+03       .83550480E+02       .16070974E+03
  105 G, Gb, Go:       .26850472E+03       .83913643E+02       .27698708E+03
  106 G, Gb, Go:       .18490152E+03       .83988241E+02       .19798732E+03
  107 G, Gb, Go:       .12672906E+03       .83922512E+02       .14643933E+03
  108 G, Gb, Go:       .11206509E+03       .83792797E+02       .13594597E+03
  109 G, Gb, Go:       .19717888E+03       .83739766E+02       .21252037E+03
  110 G, Gb, Go:       .12138044E+03       .83722797E+02       .14520407E+03
