  INPUT PROFILE
  219.100 249.820 255.990 257.540 251.720 243.480 235.020 229.330 226.620 223.050
  218.620 215.080 212.130 207.950 202.510 194.340 193.150 198.050 205.490 212.480
  219.840 226.740 233.390 240.020 246.660 253.050 258.760 263.400 267.210 271.020
  275.130 278.310 281.060 283.330 285.480 287.820 290.440 292.760 294.820 296.760
  299.190 300.970 301.640
   -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810
   -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810
   -5.810  -5.810  -4.070  -1.410  -0.980  -0.960  -1.140  -0.150   0.820   1.070
    0.980   1.640   1.940   2.080   2.280   2.410   2.470   2.540   2.640   2.810
    2.870   2.900   2.910
    1.000   1.257   1.780   2.886   3.287   3.244   3.158   2.985   2.816   2.053
    1.485   1.340   1.273   1.044   0.899   0.740   0.555   0.360   0.267   0.160
    0.082   0.049   0.045   0.045   0.045   0.045   0.045   0.041   0.038   0.036
    0.035   0.034   0.033   0.032   0.031   0.029   0.027   0.026   0.025   0.026
    0.029   0.032   0.032
   -0.100   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000
  301.640   2.9101007.300   5.000   2.000
  301.640   3.000   5.000  15.000   0.100   0.300
  500.000   0.000
  
  NUMBER OF PROFILES PROCESSED= 1
  
 CHANNELS PROCESSED:
        1       2       3       4       5       6       7       8
  
 INPUT SURFACE EMISSIVITIES SAT = 2
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  
  -----------------
  Profile number  1 Instrument  21
  -----------------
  
 CALCULATED BRIGHTNESS TEMPERATURES: SAT = 2 ZENITH ANGLE=  0.00 AZIMUTH ANGLE=   0.00 SURFACE TYPE= 1
   296.52  246.67  262.30  293.96  276.64  294.67  292.01  273.33
  
 CALCULATED RADIANCES: SAT = 2
     0.85    4.52   17.35   65.60   60.92  103.15  115.00   98.69
  
 CALCULATED OVERCAST RADIANCES: SAT = 2
     0.23    4.50   15.75   38.33   39.25   66.58   80.38   80.74
  
 CALCULATED SURFACE TO SPACE TRANSMITTANCE: SAT = 2
   0.7108  0.0000  0.0003  0.4955  0.3403  0.4232  0.2697  0.0650
  
 CALCULATED SURFACE EMISSIVITIES SAT = 2
    0.976   0.979   0.981   0.985   0.988   0.992   0.988   0.973
  
 Level to space transmittances for channels
          1       2       3       4       5       6       7       8
  1  0.9995  0.9997  1.0000  1.0000  0.9994  1.0000  1.0000  0.9996
  2  0.9991  0.9993  0.9999  1.0000  0.9982  1.0000  1.0000  0.9990
  3  0.9985  0.9987  0.9998  0.9999  0.9952  1.0000  1.0000  0.9982
  4  0.9975  0.9981  0.9995  0.9998  0.9884  1.0000  1.0000  0.9971
  5  0.9960  0.9974  0.9990  0.9996  0.9776  0.9999  1.0000  0.9954
  6  0.9938  0.9966  0.9983  0.9993  0.9650  0.9999  0.9999  0.9931
  7  0.9908  0.9954  0.9974  0.9988  0.9503  0.9998  0.9999  0.9900
  8  0.9872  0.9938  0.9962  0.9982  0.9321  0.9997  0.9999  0.9863
  9  0.9832  0.9917  0.9948  0.9975  0.9095  0.9997  0.9999  0.9818
 10  0.9791  0.9889  0.9932  0.9968  0.8852  0.9996  0.9998  0.9765
 11  0.9755  0.9854  0.9911  0.9961  0.8631  0.9995  0.9998  0.9710
 12  0.9726  0.9811  0.9886  0.9955  0.8414  0.9994  0.9997  0.9651
 13  0.9702  0.9760  0.9854  0.9947  0.8160  0.9993  0.9997  0.9587
 14  0.9681  0.9699  0.9815  0.9938  0.7887  0.9992  0.9996  0.9519
 15  0.9662  0.9626  0.9768  0.9930  0.7637  0.9991  0.9996  0.9451
 16  0.9642  0.9542  0.9714  0.9920  0.7375  0.9989  0.9995  0.9384
 17  0.9623  0.9446  0.9654  0.9911  0.7151  0.9988  0.9994  0.9320
 18  0.9599  0.9329  0.9585  0.9902  0.6963  0.9986  0.9993  0.9243
 19  0.9572  0.9202  0.9509  0.9893  0.6819  0.9985  0.9991  0.9147
 20  0.9541  0.9062  0.9426  0.9883  0.6707  0.9982  0.9990  0.9027
 21  0.9507  0.8909  0.9334  0.9874  0.6636  0.9980  0.9987  0.8883
 22  0.9470  0.8744  0.9234  0.9864  0.6591  0.9976  0.9985  0.8712
 23  0.9429  0.8313  0.9078  0.9854  0.6557  0.9972  0.9982  0.8517
 24  0.9383  0.6187  0.8437  0.9835  0.6519  0.9967  0.9976  0.8291
 25  0.9331  0.3964  0.7550  0.9806  0.6477  0.9959  0.9965  0.8031
 26  0.9274  0.2579  0.6775  0.9772  0.6433  0.9948  0.9950  0.7750
 27  0.9214  0.1805  0.6158  0.9738  0.6386  0.9936  0.9934  0.7460
 28  0.9147  0.1063  0.5344  0.9688  0.6335  0.9919  0.9907  0.7149
 29  0.9061  0.0353  0.3962  0.9579  0.6276  0.9879  0.9833  0.6778
 30  0.8958  0.0084  0.2682  0.9423  0.6204  0.9805  0.9697  0.6359
 31  0.8849  0.0018  0.1873  0.9273  0.6126  0.9721  0.9552  0.5957
 32  0.8723  0.0002  0.1200  0.9072  0.6025  0.9583  0.9321  0.5500
 33  0.8567  0.0000  0.0662  0.8766  0.5870  0.9307  0.8884  0.4902
 34  0.8398  0.0000  0.0352  0.8406  0.5671  0.8920  0.8304  0.4251
 35  0.8220  0.0000  0.0182  0.7995  0.5428  0.8419  0.7587  0.3572
 36  0.8034  0.0000  0.0091  0.7528  0.5134  0.7794  0.6741  0.2888
 37  0.7848  0.0000  0.0046  0.7046  0.4823  0.7128  0.5884  0.2283
 38  0.7671  0.0000  0.0024  0.6580  0.4516  0.6481  0.5097  0.1790
 39  0.7504  0.0000  0.0013  0.6127  0.4213  0.5848  0.4368  0.1388
 40  0.7347  0.0000  0.0007  0.5670  0.3900  0.5205  0.3670  0.1051
 41  0.7211  0.0000  0.0005  0.5261  0.3616  0.4640  0.3093  0.0804
 42  0.7117  0.0000  0.0003  0.4982  0.3421  0.4267  0.2730  0.0663
 43  0.7079  0.0000  0.0003  0.4872  0.3344  0.4122  0.2594  0.0612
          1       2       3       4       5       6       7       8
