  INPUT PROFILE
  219.100 249.820 255.990 257.540 251.720 243.480 235.020 229.330 226.620 223.050
  218.620 215.080 212.130 207.950 202.510 194.340 193.150 198.050 205.490 212.480
  219.840 226.740 233.390 240.020 246.660 253.050 258.760 263.400 267.210 271.020
  275.130 278.310 281.060 283.330 285.480 287.820 290.440 292.760 294.820 296.760
  299.190 300.970 301.640
   -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810
   -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810  -5.810
   -5.810  -5.810  -4.070  -1.410  -0.980  -0.960  -1.140  -0.150   0.820   1.070
    0.980   1.640   1.940   2.080   2.280   2.410   2.470   2.540   2.640   2.810
    2.870   2.900   2.910
    1.000   1.257   1.780   2.886   3.287   3.244   3.158   2.985   2.816   2.053
    1.485   1.340   1.273   1.044   0.899   0.740   0.555   0.360   0.267   0.160
    0.082   0.049   0.045   0.045   0.045   0.045   0.045   0.041   0.038   0.036
    0.035   0.034   0.033   0.032   0.031   0.029   0.027   0.026   0.025   0.026
    0.029   0.032   0.032
   -0.100   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    0.000   0.000   0.000
  301.640   2.9101007.300   5.000   2.000
  301.640   3.000   5.000  15.000   0.100   0.300
  500.000   0.000
  
  NUMBER OF PROFILES PROCESSED= 1
  
 CHANNELS PROCESSED:
        1       2       3       4       5       6       7
  
 INPUT SURFACE EMISSIVITIES SAT = 11
   -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000
  
  -----------------
  Profile number  1 Instrument  6
  -----------------
  
 CALCULATED BRIGHTNESS TEMPERATURES: SAT =11 ZENITH ANGLE=  0.00 AZIMUTH ANGLE=   0.00 SURFACE TYPE= 1
   162.07  161.61  208.71  174.53  174.18  245.81  245.58
  
 CALCULATED RADIANCES: SAT = 11
     0.00    0.00    0.00    0.00    0.00    0.02    0.02
  
 CALCULATED OVERCAST RADIANCES: SAT = 11
     0.00    0.00    0.00    0.00    0.00    0.02    0.02
  
 CALCULATED SURFACE TO SPACE TRANSMITTANCE: SAT = 11
   0.8799  0.8799  0.7058  0.8661  0.8661  0.6099  0.6099
  
 CALCULATED SURFACE EMISSIVITIES SAT = 11
    0.405   0.405   0.409   0.442   0.442   0.543   0.544
  
 Level to space transmittances for channels
          1       2       3       4       5       6       7
  1  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  2  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  3  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  4  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  5  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  6  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  7  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  8  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
  9  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
 10  1.0000  1.0000  0.9999  1.0000  1.0000  1.0000  1.0000
 11  1.0000  1.0000  0.9999  1.0000  1.0000  0.9999  0.9999
 12  1.0000  1.0000  0.9999  0.9999  0.9999  0.9999  0.9999
 13  1.0000  1.0000  0.9999  0.9999  0.9999  0.9998  0.9998
 14  0.9999  0.9999  0.9998  0.9998  0.9998  0.9997  0.9997
 15  0.9999  0.9999  0.9998  0.9997  0.9997  0.9996  0.9996
 16  0.9999  0.9999  0.9997  0.9995  0.9995  0.9993  0.9993
 17  0.9998  0.9998  0.9996  0.9993  0.9993  0.9990  0.9990
 18  0.9997  0.9997  0.9994  0.9989  0.9989  0.9985  0.9985
 19  0.9996  0.9996  0.9993  0.9985  0.9985  0.9980  0.9980
 20  0.9994  0.9994  0.9991  0.9980  0.9980  0.9973  0.9973
 21  0.9992  0.9992  0.9989  0.9975  0.9975  0.9965  0.9965
 22  0.9990  0.9990  0.9986  0.9968  0.9968  0.9955  0.9955
 23  0.9988  0.9988  0.9983  0.9960  0.9960  0.9945  0.9945
 24  0.9985  0.9985  0.9973  0.9950  0.9950  0.9931  0.9931
 25  0.9980  0.9980  0.9953  0.9939  0.9939  0.9914  0.9914
 26  0.9974  0.9974  0.9931  0.9926  0.9926  0.9894  0.9894
 27  0.9968  0.9968  0.9909  0.9912  0.9912  0.9873  0.9873
 28  0.9960  0.9960  0.9877  0.9896  0.9896  0.9845  0.9845
 29  0.9944  0.9944  0.9804  0.9873  0.9873  0.9796  0.9796
 30  0.9917  0.9917  0.9692  0.9842  0.9842  0.9718  0.9718
 31  0.9888  0.9888  0.9577  0.9808  0.9808  0.9631  0.9631
 32  0.9846  0.9846  0.9427  0.9764  0.9764  0.9509  0.9509
 33  0.9782  0.9782  0.9215  0.9700  0.9700  0.9309  0.9309
 34  0.9701  0.9701  0.8973  0.9620  0.9620  0.9049  0.9049
 35  0.9603  0.9603  0.8709  0.9522  0.9522  0.8728  0.8728
 36  0.9489  0.9489  0.8427  0.9406  0.9406  0.8344  0.8344
 37  0.9367  0.9367  0.8149  0.9280  0.9280  0.7940  0.7940
 38  0.9244  0.9244  0.7886  0.9150  0.9150  0.7534  0.7534
 39  0.9120  0.9120  0.7640  0.9017  0.9017  0.7131  0.7131
 40  0.8996  0.8996  0.7407  0.8882  0.8882  0.6727  0.6727
 41  0.8885  0.8885  0.7208  0.8758  0.8758  0.6369  0.6369
 42  0.8807  0.8807  0.7071  0.8669  0.8669  0.6123  0.6123
 43  0.8775  0.8775  0.7017  0.8633  0.8633  0.6025  0.6025
          1       2       3       4       5       6       7
