 metar obs, Jo (expected)=    37608   95748     8085.46700     8143.83954     9787.14092     7302.18601     9738.00829
 metar obs, Jo (actual)  =    37608   95748    25642.06961    25712.81322     9535.70176     9747.64575     4942.43757
 metar obs, Error Factor =    37608   95748        1.78084        1.77689        0.98707        1.15538        0.71242
 
 ships obs, Jo (expected)=      411    1790      155.74080      153.30204      153.24257      181.49688      159.90783
 ships obs, Jo (actual)  =      411    1790      674.69491      609.59157      103.83491      219.91288       53.06897
 ships obs, Error Factor =      411    1790        2.08139        1.99409        0.82316        1.10076        0.57608
 
 geoam obs, Jo (expected)=    64005  127947    31476.46839    31483.34880        0.00000        0.00000        0.00000
 geoam obs, Jo (actual)  =    64005  127947    17043.33398    14370.76801        0.00000        0.00000        0.00000
 geoam obs, Error Factor =    64005  127947        0.73584        0.67562        1.00000        1.00000        1.00000
 
 sound obs, Jo (expected)=     1795  126696    18261.44385    18337.73000    11557.20188     7986.39035        0.00000
 sound obs, Jo (actual)  =     1795  126696    30914.91508    31087.02321    18058.87502     6949.71181        0.00000
 sound obs, Error Factor =     1795  126696        1.30112        1.30202        1.25003        0.93284        1.00000
 
 airep obs, Jo (expected)=     5918   19006     3107.28029     3091.84276     2711.40605        0.00000        0.00000
 airep obs, Jo (actual)  =     5918   19006     1565.16020     1661.56390     1743.40063        0.00000        0.00000
 airep obs, Error Factor =     5918   19006        0.70972        0.73308        0.80187        1.00000        1.00000
 
 sonde obs, Jo (expected)=     1795    3201      272.19154      278.70691      266.35410      344.49549      251.15579
 sonde obs, Jo (actual)  =     1795    3201      884.53890      815.56751      433.03667      503.20489       96.97650
 sonde obs, Error Factor =     1795    3201        1.80269        1.71063        1.27507        1.20859        0.62139
